1000, 2960
increase 1000 2
increase 1001 2
increase 1002 2
increase 1003 2
increase 1004 2
increase 1005 2
increase 1006 2
increase 1007 2
increase 1008 2
increase 1009 2
increase 1010 2
increase 1011 2
increase 1012 2
increase 1013 2
increase 1014 2
increase 1015 2
increase 1016 2
increase 1017 2
increase 1018 2
increase 1019 2
increase 1020 2
increase 1021 2
increase 1022 2
increase 1023 2
increase 1024 2
increase 1025 2
increase 1026 2
increase 1027 2
increase 1028 2
increase 1029 2
increase 1030 2
increase 1031 2
increase 1032 2
increase 1033 2
increase 1034 2
increase 1035 2
increase 1036 2
increase 1037 2
increase 1038 2
increase 1039 2
increase 1040 2
increase 1041 2
increase 1042 2
increase 1043 2
increase 1044 2
increase 1045 2
increase 1046 2
increase 1047 2
increase 1048 2
increase 1049 2
increase 1050 2
increase 1051 2
increase 1052 2
increase 1053 2
increase 1054 2
increase 1055 2
increase 1056 2
increase 1057 2
increase 1058 2
increase 1059 2
increase 1060 2
increase 1061 2
increase 1062 2
increase 1063 2
increase 1064 2
increase 1065 2
increase 1066 2
increase 1067 2
increase 1068 2
increase 1069 2
increase 1070 2
increase 1071 2
increase 1072 2
increase 1073 2
increase 1074 2
increase 1075 2
increase 1076 2
increase 1077 2
increase 1078 2
increase 1079 2
increase 1080 2
increase 1081 2
increase 1082 2
increase 1083 2
increase 1084 2
increase 1085 2
increase 1086 2
increase 1087 2
increase 1088 2
increase 1089 2
increase 1090 2
increase 1091 2
increase 1092 2
increase 1093 2
increase 1094 2
increase 1095 2
increase 1096 2
increase 1097 2
increase 1098 2
increase 1099 2
increase 1100 2
increase 1101 2
increase 1102 2
increase 1103 2
increase 1104 2
increase 1105 2
increase 1106 2
increase 1107 2
increase 1108 2
increase 1109 2
increase 1110 2
increase 1111 2
increase 1112 2
increase 1113 2
increase 1114 2
increase 1115 2
increase 1116 2
increase 1117 2
increase 1118 2
increase 1119 2
increase 1120 2
increase 1121 2
increase 1122 2
increase 1123 2
increase 1124 2
increase 1125 2
increase 1126 2
increase 1127 2
increase 1128 2
increase 1129 2
increase 1130 2
increase 1131 2
increase 1132 2
increase 1133 2
increase 1134 2
increase 1135 2
increase 1136 2
increase 1137 2
increase 1138 2
increase 1139 2
increase 1140 2
increase 1141 2
increase 1142 2
increase 1143 2
increase 1144 2
increase 1145 2
increase 1146 2
increase 1147 2
increase 1148 2
increase 1149 2
increase 1150 2
increase 1151 2
increase 1152 2
increase 1153 2
increase 1154 2
increase 1155 2
increase 1156 2
increase 1157 2
increase 1158 2
increase 1159 2
increase 1160 2
increase 1161 2
increase 1162 2
increase 1163 2
increase 1164 2
increase 1165 2
increase 1166 2
increase 1167 2
increase 1168 2
increase 1169 2
increase 1170 2
increase 1171 2
increase 1172 2
increase 1173 2
increase 1174 2
increase 1175 2
increase 1176 2
increase 1177 2
increase 1178 2
increase 1179 2
increase 1180 2
increase 1181 2
increase 1182 2
increase 1183 2
increase 1184 2
increase 1185 2
increase 1186 2
increase 1187 2
increase 1188 2
increase 1189 2
increase 1190 2
increase 1191 2
increase 1192 2
increase 1193 2
increase 1194 2
increase 1195 2
increase 1196 2
increase 1197 2
increase 1198 2
increase 1199 2
increase 1200 2
increase 1201 2
increase 1202 2
increase 1203 2
increase 1204 2
increase 1205 2
increase 1206 2
increase 1207 2
increase 1208 2
increase 1209 2
increase 1210 2
increase 1211 2
increase 1212 2
increase 1213 2
increase 1214 2
increase 1215 2
increase 1216 2
increase 1217 2
increase 1218 2
increase 1219 2
increase 1220 2
increase 1221 2
increase 1222 2
increase 1223 2
increase 1224 2
increase 1225 2
increase 1226 2
increase 1227 2
increase 1228 2
increase 1229 2
increase 1230 2
increase 1231 2
increase 1232 2
increase 1233 2
increase 1234 2
increase 1235 2
increase 1236 2
increase 1237 2
increase 1238 2
increase 1239 2
increase 1240 2
increase 1241 2
increase 1242 2
increase 1243 2
increase 1244 2
increase 1245 2
increase 1246 2
increase 1247 2
increase 1248 2
increase 1249 2
increase 1250 2
increase 1251 2
increase 1252 2
increase 1253 2
increase 1254 2
increase 1255 2
increase 1256 2
increase 1257 2
increase 1258 2
increase 1259 2
increase 1260 2
increase 1261 2
increase 1262 2
increase 1263 2
increase 1264 2
increase 1265 2
increase 1266 2
increase 1267 2
increase 1268 2
increase 1269 2
increase 1270 2
increase 1271 2
increase 1272 2
increase 1273 2
increase 1274 2
increase 1275 2
increase 1276 2
increase 1277 2
increase 1278 2
increase 1279 2
increase 1280 2
increase 1281 2
increase 1282 2
increase 1283 2
increase 1284 2
increase 1285 2
increase 1286 2
increase 1287 2
increase 1288 2
increase 1289 2
increase 1290 2
increase 1291 2
increase 1292 2
increase 1293 2
increase 1294 2
increase 1295 2
increase 1296 2
increase 1297 2
increase 1298 2
increase 1299 2
increase 1300 2
increase 1301 2
increase 1302 2
increase 1303 2
increase 1304 2
increase 1305 2
increase 1306 2
increase 1307 2
increase 1308 2
increase 1309 2
increase 1310 2
increase 1311 2
increase 1312 2
increase 1313 2
increase 1314 2
increase 1315 2
increase 1316 2
increase 1317 2
increase 1318 2
increase 1319 2
increase 1320 2
increase 1321 2
increase 1322 2
increase 1323 2
increase 1324 2
increase 1325 2
increase 1326 2
increase 1327 2
increase 1328 2
increase 1329 2
increase 1330 2
increase 1331 2
increase 1332 2
increase 1333 2
increase 1334 2
increase 1335 2
increase 1336 2
increase 1337 2
increase 1338 2
increase 1339 2
increase 1340 2
increase 1341 2
increase 1342 2
increase 1343 2
increase 1344 2
increase 1345 2
increase 1346 2
increase 1347 2
increase 1348 2
increase 1349 2
increase 1350 2
increase 1351 2
increase 1352 2
increase 1353 2
increase 1354 2
increase 1355 2
increase 1356 2
increase 1357 2
increase 1358 2
increase 1359 2
increase 1360 2
increase 1361 2
increase 1362 2
increase 1363 2
increase 1364 2
increase 1365 2
increase 1366 2
increase 1367 2
increase 1368 2
increase 1369 2
increase 1370 2
increase 1371 2
increase 1372 2
increase 1373 2
increase 1374 2
increase 1375 2
increase 1376 2
increase 1377 2
increase 1378 2
increase 1379 2
increase 1380 2
increase 1381 2
increase 1382 2
increase 1383 2
increase 1384 2
increase 1385 2
increase 1386 2
increase 1387 2
increase 1388 2
increase 1389 2
increase 1390 2
increase 1391 2
increase 1392 2
increase 1393 2
increase 1394 2
increase 1395 2
increase 1396 2
increase 1397 2
increase 1398 2
increase 1399 2
increase 1400 2
increase 1401 2
increase 1402 2
increase 1403 2
increase 1404 2
increase 1405 2
increase 1406 2
increase 1407 2
increase 1408 2
increase 1409 2
increase 1410 2
increase 1411 2
increase 1412 2
increase 1413 2
increase 1414 2
increase 1415 2
increase 1416 2
increase 1417 2
increase 1418 2
increase 1419 2
increase 1420 2
increase 1421 2
increase 1422 2
increase 1423 2
increase 1424 2
increase 1425 2
increase 1426 2
increase 1427 2
increase 1428 2
increase 1429 2
increase 1430 2
increase 1431 2
increase 1432 2
increase 1433 2
increase 1434 2
increase 1435 2
increase 1436 2
increase 1437 2
increase 1438 2
increase 1439 2
increase 1440 2
increase 1441 2
increase 1442 2
increase 1443 2
increase 1444 2
increase 1445 2
increase 1446 2
increase 1447 2
increase 1448 2
increase 1449 2
increase 1450 2
increase 1451 2
increase 1452 2
increase 1453 2
increase 1454 2
increase 1455 2
increase 1456 2
increase 1457 2
increase 1458 2
increase 1459 2
increase 1460 2
increase 1461 2
increase 1462 2
increase 1463 2
increase 1464 2
increase 1465 2
increase 1466 2
increase 1467 2
increase 1468 2
increase 1469 2
increase 1470 2
increase 1471 2
increase 1472 2
increase 1473 2
increase 1474 2
increase 1475 2
increase 1476 2
increase 1477 2
increase 1478 2
increase 1479 2
increase 1480 2
increase 1481 2
increase 1482 2
increase 1483 2
increase 1484 2
increase 1485 2
increase 1486 2
increase 1487 2
increase 1488 2
increase 1489 2
increase 1490 2
increase 1491 2
increase 1492 2
increase 1493 2
increase 1494 2
increase 1495 2
increase 1496 2
increase 1497 2
increase 1498 2
increase 1499 2
increase 1500 2
increase 1501 2
increase 1502 2
increase 1503 2
increase 1504 2
increase 1505 2
increase 1506 2
increase 1507 2
increase 1508 2
increase 1509 2
increase 1510 2
increase 1511 2
increase 1512 2
increase 1513 2
increase 1514 2
increase 1515 2
increase 1516 2
increase 1517 2
increase 1518 2
increase 1519 2
increase 1520 2
increase 1521 2
increase 1522 2
increase 1523 2
increase 1524 2
increase 1525 2
increase 1526 2
increase 1527 2
increase 1528 2
increase 1529 2
increase 1530 2
